<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
????_??6,20180423,94497.30,94512.60,94299.50,94299.50,336115526,667241414545.00,35008,3748275815.26
????_??6,20180424,94316.00,94629.00,94316.00,94576.30,440044526,826980831961.00,39634,3759278833.81
????_??6,20180425,94583.70,94883.80,94583.70,94796.10,405346220,866224871205.00,39431,3768015317.04
????_??6,20180428,94796.90,94804.50,94284.40,94284.40,433556875,761266877744.00,40486,3748404638.23
????_??6,20180429,94291.00,94298.70,93805.50,93805.50,409784360,768363040308.00,36471,3730143998.75
????_??6,20180430,93808.20,93866.50,93586.80,93586.90,411792027,762462382197.00,37039,3690994980.02
????_??6,20180501,93608.70,93630.80,93586.10,93612.10,463259578,749967956817.00,34984,3691989346.54
????_??6,20180505,93642.20,93642.20,93100.60,93100.60,426059549,860842812228.00,40071,3670795116.25
????_??6,20180506,93100.90,93100.90,92849.80,92849.90,493919048,939552066661.00,40822,3661555812.25
????_??6,20180507,92855.50,93165.90,92855.50,93165.90,362163673,827952578997.00,35228,3672777527.30
????_??6,20180508,93208.20,93605.80,93208.20,93605.80,582180046,971422481075.00,45990,3690121354.42
????_??6,20180509,93654.10,93834.80,93654.10,93691.10,1146491571,2321609463660.00,62974,3692227167.55
????_??6,20180512,93684.20,93933.90,93684.20,93891.10,499760226,978200003823.00,41244,3699894488.49
????_??6,20180513,93953.60,94182.70,93953.60,94165.80,633613735,1148310135118.00,48997,3708609814.08
????_??6,20180514,94214.30,94704.40,94214.30,94703.40,672194377,1207554955496.00,51099,3729638918.23
????_??6,20180515,94769.60,94941.90,94769.60,94905.90,845227755,1243581351248.00,62297,3737437009.34
????_??6,20180516,94933.60,94980.10,94902.20,94940.20,789244307,1417835735439.00,58047,3722200656.72
????_??6,20180519,94972.40,95173.70,94972.40,95103.10,745670716,1218345091358.00,55172,3728156879.99
????_??6,20180520,95142.90,95235.20,95118.10,95136.40,718852205,1249883504265.00,56485,3729744819.99
????_??6,20180521,95133.60,95260.20,95133.60,95227.40,746724467,1240936901989.00,58252,3727147455.57
????_??6,20180522,95242.20,95282.80,95219.00,95229.90,560598571,1093540761951.00,49308,3727095113.81
????_??6,20180523,95243.90,95510.90,95243.90,95445.00,552911458,1149493834913.00,47567,3726789343.05
????_??6,20180526,95498.90,95929.90,95498.90,95794.00,690589501,1695201176986.00,57108,3740065877.18
????_??6,20180527,95838.70,95887.20,95625.70,95626.00,581640913,1140793484220.00,48944,3733506762.37
????_??6,20180528,95626.70,95654.80,95529.50,95529.60,554600964,965203369142.00,46495,3728486760.38
????_??6,20180529,95531.60,95647.40,95409.60,95409.60,605058731,1124670505227.00,46331,3720349439.24
????_??6,20180530,95434.00,95665.10,95434.00,95577.60,658934481,1222555239799.00,49452,3726857906.16
????_??6,20180602,95609.50,96026.50,95609.50,95951.90,635002100,1070389276700.00,46542,3740760423.90
????_??6,20180603,95970.10,96024.70,95970.10,95998.80,501256220,932800600476.00,50367,3741413296.67
????_??6,20180609,96083.70,96251.60,96064.00,96077.10,759223612,1257948769788.00,59621,3755517435.41
????_??6,20180610,96087.60,96139.00,95915.90,95915.90,750126343,1769680936798.00,95963,3748946425.68
