<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
?????,20180811,14821.00,15020.00,14782.00,14956.00,731991,10947662158.00,215,14821.00
?????,20180812,15000.00,15298.00,14900.00,15059.00,767910,11564240772.00,254,14956.00
?????,20180813,14900.00,15350.00,14900.00,15170.00,437075,6656758736.00,240,15059.00
?????,20180814,15210.00,15559.00,15210.00,15270.00,310775,4781693288.00,202,15170.00
?????,20180815,15339.00,15999.00,15339.00,15897.00,1151249,18300956153.00,599,15270.00
?????,20180818,16000.00,16443.00,16000.00,16344.00,1272077,20790461829.00,581,15897.00
?????,20180819,16400.00,16499.00,15999.00,16315.00,1442530,23535357283.00,477,16344.00
?????,20180820,16349.00,16349.00,15950.00,15980.00,933970,14925083160.00,345,16315.00
?????,20180821,15882.00,15888.00,15688.00,15749.00,880270,13863439333.00,300,15980.00
?????,20180825,15772.00,15772.00,15550.00,15607.00,783071,12221226835.00,379,15749.00
?????,20180826,15560.00,16300.00,15560.00,15916.00,742621,11819714545.00,373,15607.00
?????,20180827,15800.00,16127.00,15800.00,15911.00,472996,7525061500.00,260,15916.00
?????,20180828,16000.00,16000.00,15800.00,15903.00,220893,3509535029.00,164,15911.00
?????,20180829,15850.00,15900.00,15711.00,15851.00,324474,5127065269.00,163,15903.00
?????,20180901,15710.00,16300.00,15601.00,15844.00,414712,6569381373.00,231,15851.00
?????,20180902,16150.00,16190.00,15850.00,15922.00,248649,3988563436.00,174,15844.00
?????,20180903,15661.00,16089.00,15661.00,15936.00,173510,2771454688.00,155,15922.00
?????,20180904,15880.00,15950.00,15800.00,15918.00,343976,5470110077.00,225,15936.00
?????,20180905,15820.00,15820.00,15690.00,15801.00,471790,7436065368.00,279,15918.00
?????,20180908,15711.00,15800.00,15689.00,15731.00,519808,8168871889.00,396,15801.00
?????,20180909,15668.00,15700.00,15600.00,15623.00,752970,11763855350.00,479,15731.00
?????,20180910,15600.00,15880.00,15600.00,15742.00,1797271,28292303856.00,584,15623.00
?????,20180911,15721.00,16000.00,15721.00,15846.00,1542263,24438358505.00,387,15742.00
?????,20180912,15999.00,16254.00,15900.00,16089.00,2777185,44683249653.00,707,15846.00
?????,20180915,16334.00,16893.00,16334.00,16836.00,2855445,48073158215.00,858,16089.00
?????,20180916,17161.00,17491.00,16836.00,16996.00,1166703,19829258895.00,490,16836.00
?????,20180917,17286.00,17286.00,17000.00,17117.00,1406248,24070250152.00,448,16996.00
?????,20180918,17150.00,17150.00,16900.00,16994.00,1344906,22855175457.00,457,17117.00
?????,20180922,17093.00,17843.00,17002.00,17780.00,3786770,67329370514.00,580,16994.00
?????,20180923,18669.00,18669.00,18669.00,18669.00,4008300,74830952700.00,204,17780.00
?????,20180924,19602.00,19602.00,19330.00,19587.00,7448704,145894848586.00,1538,18669.00
?????,20180925,19890.00,19890.00,19251.00,19613.00,3243272,63609940579.00,1475,19587.00
?????,20180926,19600.00,19676.00,19250.00,19520.00,5080923,99180010454.00,1350,19613.00
?????,20180929,19700.00,19700.00,18990.00,19137.00,3295808,63072950982.00,1854,19520.00
?????,20180930,19103.00,20000.00,19103.00,19759.00,4578793,90473222641.00,1629,19137.00
?????,20181001,20200.00,20200.00,19000.00,19575.00,2836031,55514791017.00,1251,19759.00
?????,20181002,19172.00,19479.00,18597.00,18781.00,4468069,83914239530.00,1152,19575.00
?????,20181003,17859.00,18772.00,17859.00,18293.00,1762480,32241258220.00,614,18781.00
?????,20181006,18885.00,19050.00,18020.00,18527.00,2147669,39790002246.00,606,18293.00
?????,20181007,18013.00,18015.00,17601.00,17698.00,2872571,50839810767.00,723,18527.00
?????,20181008,17203.00,17398.00,17051.00,17289.00,842190,14560606338.00,656,17698.00
?????,20181009,17440.00,18153.00,17440.00,18069.00,4192642,75757525754.00,717,17289.00
?????,20181010,18468.00,18850.00,18000.00,18417.00,676942,12467428121.00,392,18069.00
?????,20181013,18598.00,18850.00,17651.00,18049.00,840262,15165645972.00,443,18417.00
?????,20181014,17803.00,17803.00,17300.00,17889.00,150362,2627263313.00,105,18049.00
?????,20181015,17405.00,18498.00,17405.00,18068.00,1982700,35823057962.00,588,17889.00
?????,20181016,18201.00,18400.00,17960.00,18101.00,1210525,21911464828.00,490,18068.00
?????,20181017,18000.00,18820.00,17887.00,18439.00,2072389,38213184191.00,505,18101.00
?????,20181020,18700.00,19006.00,18411.00,18976.00,1815341,34447752201.00,574,18439.00
?????,20181021,19000.00,19119.00,18785.00,19003.00,3388308,64386537967.00,570,18976.00
?????,20181022,19138.00,19138.00,18560.00,18911.00,795892,15051301244.00,322,19003.00
?????,20181023,19130.00,19130.00,18500.00,18877.00,786672,14849791012.00,335,18911.00
?????,20181024,19187.00,19300.00,18601.00,18955.00,552689,10476354010.00,293,18877.00
?????,20181027,19247.00,19499.00,18840.00,19130.00,644035,12320176258.00,373,18955.00
?????,20181028,19000.00,19010.00,18900.00,18988.00,739484,14040987677.00,332,19130.00
?????,20181029,19269.00,19269.00,18956.00,19065.00,536214,10222854349.00,233,18988.00
?????,20181031,19290.00,19299.00,19000.00,19089.00,908087,17334900510.00,324,19065.00
?????,20181103,19103.00,19298.00,19025.00,19184.00,670726,12867219195.00,219,19089.00
?????,20181104,19200.00,19300.00,19099.00,19200.00,384618,7386704575.00,257,19184.00
?????,20181105,19005.00,19299.00,19005.00,19200.00,2462242,47276178177.00,229,19200.00
?????,20181106,19300.00,19300.00,19000.00,19168.00,308670,5909793545.00,227,19200.00
?????,20181110,19058.00,19900.00,18986.00,19371.00,1225629,23742159915.00,460,19168.00
